title,email,phone,website,address1,address2,city,state,zip,county,longitude,latitude,facebook,twitter,youtube,instagram,public,featured,featured_text,tags,categories,images
Dubuque County Jail,,,http://en.wikipedia.org/wiki/Dubuque_County_Jail,200-298East 8th Street,,Dubuque,,52001,,-90.6647,42.50154,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/7/72/Dbq_jail.jpg
The Farm House (Knapp-Wilson House),,,http://en.wikipedia.org/wiki/The_Farm_House_(Knapp-Wilson_House),499Wallace Road,,Ames,,50010,,-93.64222,42.02807,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/c/c6/The_Farm_House_(Knapp-Wilson_House).jpg
George M. Verity (towboat),,,http://en.wikipedia.org/wiki/George_M._Verity_(towboat),U.S. 136,,Keokuk,,52632,,-91.3725,40.39129,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/b/b8/Verity_Keokuk.JPG
Merchants' National Bank,,,http://en.wikipedia.org/wiki/Merchants%27_National_Bank,841-855Main Street,,Grinnell,,50112,,-92.7258,41.74229,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/0/0f/LSGrinnell7.jpg
Julien Dubuque's Mines,,,http://en.wikipedia.org/wiki/Julien_Dubuque%27s_Mines,Monument Drive,,Dubuque,,52003,,-90.646311,42.468739,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/e/ed/Julen_dubuque_grave.jpg
Sergeant Floyd (towboat),,,http://en.wikipedia.org/wiki/Sergeant_Floyd_(towboat),1124-1152Council Oak Drive,,Sioux City,,51109,,-96.47254,42.49929,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/b/b0/Sergeant_Floyd_towboat_5.jpg
Terrace Hill,,,http://en.wikipedia.org/wiki/Terrace_Hill,2300Grand Avenue,,Des Moines,,50312,,-93.648889,41.583333,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/e/e4/Terracehill.jpg
William M. Black (dredge),,,http://en.wikipedia.org/wiki/William_M._Black_(dredge),26-198East 1st Street,,Dubuque,,52001,,-90.6604,42.49365,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/1/1d/William_m_black_dredge.jpg
Amana Colonies,,,http://en.wikipedia.org/wiki/Amana_Colonies,1301-1355220th Trail,,Amana,,52203,,-91.920833,41.799722,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/9/92/Amana_Colonies.JPG
Blood Run Site,n/a,n/a,http://en.wikipedia.org/wiki/Blood_Run_Site,Unnamed Road,,Larchwood,,51241,,-96.434205,43.4535861,,,,,TRUE,FALSE,,,national_historic_landmark,
William P. Hepburn House,,,http://en.wikipedia.org/wiki/William_P._Hepburn_House,301-399West Lincoln Street,,Clarinda,,51632,,-95.041806,40.741667,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/0/0c/William_B._Hepburn_House_from_S_2.jpg
Sergeant Floyd Monument,,,http://en.wikipedia.org/wiki/Sergeant_Floyd_Monument,Interstate 29,,Sioux City,,51106,,-96.37753,42.46068,,,,,TRUE,FALSE,,,national_historic_landmark,"http://upload.wikimedia.org/wikipedia/commons/7/7e/Sergeant_Floyd_Monument,_sunset.jpg"
Woodbury County Courthouse (Iowa),,,http://en.wikipedia.org/wiki/Woodbury_County_Courthouse_(Iowa),400-4987th Street,,Sioux City,,51101,,-96.405525,42.497158,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/2/23/Woodbury-county-courthouse.jpg
Davis Oriole Earthlodge Site,n/a,n/a,http://en.wikipedia.org/wiki/Davis_Oriole_Earthlodge_Site_(page_does_not_exist),Davis Oriole Earthlodge Site,,Glenwood,,51534,,-95.7425056,41.0469437,,,,,TRUE,FALSE,,,national_historic_landmark,
Phipps Site,n/a,n/a,http://en.wikipedia.org/wiki/Phipps_Site,Phipps Site,,Cherokee,,51012,,-95.5515431,42.7496413,,,,,TRUE,FALSE,,,national_historic_landmark,http://upload.wikimedia.org/wikipedia/commons/5/5c/Glenwood_earthlodge.jpg
State Historical Museum,susan.kloewer@iowa.gov,(515) 281-6412,http://www.iowahistory.org/museum/,600 E. Locust Street,,Des Moines,,50319,,-93.609046,41.590626,https://www.facebook.com/StateHistoricalMuseumOfIowa,https://twitter.com/iowamuseum,,,TRUE,FALSE,,,museum,"https://www.filepicker.io/api/file/3gzcxkrwRUCWNe2AV8On, https://www.filepicker.io/api/file/K5FWc1NvRCCID62UWyPd, https://www.filepicker.io/api/file/4md73Qe3SCWZ4TQmKZyy, https://www.filepicker.io/api/file/dIHi105QWKxbclaEpDK1"
Mormon Pioneer National Historic Trail,tourism@crestoniowachamber.com,641.763.2504,http://unioncountyiowatourism.com,"1 mile off Hwy. 169
U.S. 169",,,,50149,,-94.0282014,41.7696159,,,,,TRUE,FALSE,,"Byways & Historic Drives, Historical",museum,
World's Smallest Church,info@visitdecorah.com,563.532.9366,http://,"Little Church Rd.
Little Church Road",,Fort Atkinson,,52144,,-91.8939556,43.0985061,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Kinze Innovation Center,info@kinze.com,319.668.1300,http://www.kinze.com/visit-us.aspx,"2172 M Ave.
2172M Avenue",,Marengo,,52301,,-92.0660367,41.6932402,,,,,TRUE,FALSE,,"Agri-tourism, Family Fun, Historical, Museums",museum,
McCallum Museum & Brunson Heritage House,jstoff1@hotmail.com,712.754.3882,http://,"Sibley Central Park
5th St. and 8th Ave.8th Avenue",,Sibley,,51249,,-95.7431197,43.4015956,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Peterson Pioneer Home,bkzieg@netins.net,712.664.2789,http://odebolt.net/pioneerhome.html,"128 W 2nd St.
1282nd Street",,Odebolt,,51458,,-95.2519138,42.3120439,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Mansion Museum,lewisrk@wctatel.net,641.585.2092,http://visitforestcity.com,"336 N Clark St.
336North Clark Street",,Forest City,,50436,,-93.6381461,43.2658542,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Sergeant Bluff Museum,sbhmuseum@gmail.com,712.943.2028,http://,"409 4th St.
4094th Street",,Sergeant Bluff,,51054,,-96.3603981,42.403854,,,,,TRUE,FALSE,,"Historical, Museums",museum,
The Sawmill Museum,director@thesawmillmuseum.org,563.242.0343,http://thesawmillmuseum.org,"2231 Grant Ave.
2231Grant Street",,Clinton,,52732,,-90.1755045,41.8695317,,,,,TRUE,FALSE,,"Historical, Museums, History",museum,
Odebolt Rural School Museum,dweezel817@hotmail.com,712.668.4285,http://,"122 W 2nd St.
1222nd Street",,Odebolt,,51458,,-95.2518174,42.3120441,,,,,TRUE,FALSE,,Museums,museum,
Rock Run Creek Trail & Bridge,hardincountytrails@gmail.com,641.648.2483,http://hardincountytrails.org,"101 E Rocksylvania Ave.
101East Rocksylvania Avenue",,Iowa Falls,,50126,,-93.2585727,42.5214995,,,,,TRUE,FALSE,,"Historical, Nature, Outdoor Recreation & Sports, Biking & Trails",museum,
Wall to Wall CUSTOM,dozer.1968@hotmail.com,563.568.6170,http://,"902 Rossville Rd.
902Rossville Road",,Waukon,,52172,,-91.473481,43.2595913,,,,,TRUE,FALSE,,"Historical, Shopping",museum,
Van Buren County Welcome Center & McCoy Historical Museum,info@villagesofvanburen.com,,http://,"809 1st St.
8091st Street",,Keosauqua,,52565,,-91.9622042,40.7302076,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Fonda Museum,phyllismenke@gmail.com,712.288.6675,http://,"106 Main St.
106Main Street",,Fonda,,50540,,-94.6032548,42.6305663,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Corning Opera House Cultural Center,corning.oh@gmail.com,641.418.8037,http://corningoperahouse.com,"800 Davis Ave.
800Davis Avenue",,Corning,,50841,,-94.7344235,40.9900043,,,,,TRUE,FALSE,,Historical,museum,
Utility Cabinet Prototype,,,,1155Polk Boulevard,,Des Moines,,50311,,-93.6814814060926,41.6002130024294,,,,,TRUE,FALSE,,"Installation, Digital image on vinyl",art,http://dsmpublicartfoundation.org/paf/wp-content/uploads/2011/09/utitlity-box-cover.jpg
Waterloo Center for the Arts,museum@waterloo-ia.org,3192914490,waterloocenterforthearts.org,225 Commercial Street,,Waterloo,,50701,,-92.342134,42.498359,https://facebook.com/waterloocenterforthearts,,,,TRUE,FALSE,,,"museum, art, theater, amphitheater",
Riverboat Twilight,carrie.stier@riverboattwilight.com,,http://riverboattwilight.com,"Front St.
Front Street",,Le Claire,,52753,,-90.3431978,41.5975762,,,,,TRUE,FALSE,,"Family Fun, Museums, Nature, Outdoor Recreation & Sports",museum,
Rock Island Arsenal Museum,kris.g.leinicke.civ@mail.mil,309.782.5021,http://,"1 Rock Island Arsenal, Bldg. 60
",,Rock Island,,61299,,-90.5699999,41.51,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Village of East Davenport,paul.schnell@edwardjones.com,563.323.8868,http://villageofeastdavenport.com,"2132 E 11th St.
2132East 11th Street",,Davenport,,52803,,-90.545284,41.531367,,,,,TRUE,FALSE,,"Historical, Shopping",museum,
Jackson County Welcome Center,jctourism@yahoo.com,563.687.2237,http://jacksoncountyiowa.com,"60488 Hwy. 64
60488Highway 64",,Sabula,,52070,,-90.1950101,42.0697574,,,,,TRUE,FALSE,,"Historical, Museums",museum,
"Edinburgh ""Ghost Town"" and Museum",iajchs@aol.com,563.487.3711,http://rootsweb.com/~iajchs/jchs.html,"13838 Edinburgh Rd
13838Edinburgh Road",,Monticello,,52310,,-91.1346228,42.1340508,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Way of the Cross,JCEDC@iowatelecom.net,563.583.0092,http://,"97 E 1st St.
97East 1st Street",,St. Donatus,,52031,,-90.5352718,42.3631625,,,,,TRUE,FALSE,,Historical,museum,
Art Guild of Burlington,jj43201@aol.com,319.754.8069,http://artguildofburlington.org,"301 Jefferson St.
301Jefferson Street",,Burlington,,52601,,-91.103121,40.809782,,,,,TRUE,FALSE,,"Arts / Culture, Museums, Family Fun, Shopping",museum,
Bangert Gardens,rkbangert@aol.com,319.752.9328,http://bangertgardens.com,"3500 Hillcrest
3500Hillcrest Drive",,Burlington,,52601,,-91.143945,40.835678,,,,,TRUE,FALSE,,"Agri-tourism, Arts / Culture, Museums, Nature",museum,
Port of Burlington Welcome Center,bkuster@growburlington.com,319.752.8731,http://visitburlingtoniowa.com,"400 N Front St.
400North Front Street",,Burlington,,52601,,-91.1000339,40.8103452,,,,,TRUE,FALSE,,"Historical, Welcome Centers",museum,
Snake Alley,info@greaterburlington.com,319.752.6365,http://visitburlingtoniowa.com,"600 Washington St.
600Washington Street",,Burlington,,52601,,-91.106011,40.8117469,,,,,TRUE,FALSE,,"Historical, Family Fun",museum,
Appleberry Orchard,info@appleberryorchard.com,319.372.1307,http://appleberryorchard.com,"2469 Hwy. 2
2469Highway 2",,Donnellson,,52625,,-91.4492708,40.6310982,,,,,TRUE,FALSE,,"Agri-tourism, Family Fun, Historical",museum,
Historic Hills Scenic Byway,katy@pathfindersrcd.org,641.472.6177,http://iowabyways.org/historic-hills,"304 S Maple
304South Maple Street",,Fairfield,,52556,,-91.9536036,41.0046467,,,,,TRUE,FALSE,,Byways & Historic Drives,museum,
Fairfield Arts and Convention Center,director@fairfieldacc.com,641.472.2000,http://fairfieldacc.com,"200 N Main St
200North Main Street",,Fairfield,,52556,,-91.9637681,41.0086259,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Fort Madison Art Center,info@fmaaa.com,319.372.3996,http://fmaaa.com,"825 Ave G
825Ave G",,Fort Madison,,52627,,-91.3124641,40.6309499,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
North Lee County Historic Center,nlchs@iowatelecom.net,319.372.7661,http://fortmadisonhistory.org,"814 10th St.
81410th Street",,Fort Madison,,52627,,-91.3153295,40.6300569,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Old Fort Madison,ewatkins@fortmadison-ia.com,319.372.6318,http://fortmadison-ia.com/index.aspx?NID=265,"716 Riverview Dr.
716Riverview Drive",,Fort Madison,,52627,,-91.3104126,40.6295396,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Sheaffer Pen Museum,sheafferpenmuseum@gmail.com,319.372.1674,http://sheafferpenmuseum.org,"627 Ave. G
627Ave G",,Fort Madison,,52627,,-91.3085457,40.6309057,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Christian Herschler Historic District Winery and Stagecoach Stop,lorijarvis_1@hotmail.com,319.835.9432,http://wix.com/christianherschler/winery,"6th & Green St.
Green Street",,Franklin,,52625,,-91.5137631,40.6651931,,,,,TRUE,FALSE,,"Historical, Wine & Beer, Wine",museum,
George M. Verity Riverboat Museum,info@keokukiowatourism.org,319.524.4765,http://keokukiowatourism.org,"1001 Morgan St.
1001Morgan Street",,Keokuk,,52632,,-91.38309,40.402547,,,,,TRUE,FALSE,,"Historical, Museums, National Historic Landmark, History",museum,
Keokuk National Cemetery,ruby.felker@va.gov,319.524.5193,http://www.cem.va.gov/cems/nchp/keokuk.asp,"1701 J St.
1701J Street",,Keokuk,,52632,,-91.4072116,40.3983074,,,,,TRUE,FALSE,,Historical,museum,
Miller House Museum,info@lcihs.org,319.524.7283,http://lcihs.org,"318 N 5th
318North 5th Street",,Keokuk,,52632,,-91.3796334,40.3980421,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Johnny Clock Museum,info@travelfairfieldiowa.com,319.696.3711,http://,"711 W Main
711West Main Street",,Lockridge,,52635,,-91.7647853,40.9951211,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Midwest Old Threshers Heritage Museums,info@oldthreshers.org,319.385.8937,http://www.oldthreshers.org,"405 E Threshers Rd.
405East Thresher Road",,Mount Pleasant,,52641,,-91.5495328,40.9540973,,,,,TRUE,FALSE,,"Historical, Agri-tourism, Museums",museum,
The Theatre Museum of Repertoire Americana,info@oldthreshers.org,319.385.9432,http://thetheatremuseum.com,"405 E Threshers Rd.
405East Thresher Road",,Mount Pleasant,,52641,,-91.5495328,40.9540973,,,,,TRUE,FALSE,,"Arts / Culture, Museums",museum,
Dover Historical Museum,dovermus@iowatelecom.net,319.367.2573,http://dovermuseum.org,"213 W. Main
213West Main Street",,New London,,52645,,-91.403264,40.9258498,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Lewelling Quaker Museum,fheartsill@iowatelecom.net,319.258.4341,http://rootsweb.ancestry.com/~ialqm/index.htm,"401 S Main
401South Main Street",,Salem,,52649,,-91.6213921,40.8516692,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Swedish American Museum,swedish@iowatelecom.net,319.254.2317,http://,"107 James Ave.
107James Avenue",,Mount Pleasant,,52641,,-91.5447338,41.1051387,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Bentonsport National Historic District,greefstore@netins.net,319.592.3579,http://greefstore.com,"21964 Hawk Dr.
Scenic Byway J40 in Van Buren County",,Keosauqua,,52565,,-91.949021,40.7400044,,,,,TRUE,FALSE,,"Historical, Museums, Nature, Shopping",museum,
Bonaparte Historic Riverfront District,mainstreet@bonaparte-iowa.com,319.592.3400,http://bonaparte-iowa.com,"616 1st St.
6161st Street",,Bonaparte,,52620,,-91.8017383,40.6979174,,,,,TRUE,FALSE,,"Historical, Shopping",museum,
Bonaparte Pottery,mdtompot@netins.net,319.592.3620,http://bonaparte-pottery.com,"411 1st St.
4111st Street",,Bonaparte,,52620,,-91.8005636,40.6977818,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Shopping",museum,
Indian Artifact Museum,greefstore@netins.net,319.592.3579,http://greefstore.com,"21947 Des Moines St.
",,Keosauqua,,52565,,-91.949021,40.7400044,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
Morris Memorial Park,dkg@netins.net,319.796.2148,http://villagesofvanburen.com,"10938 Timber Rd.
10938Timber Road",,Stockport,,52651,,-91.7997268,40.8825265,,,,,TRUE,FALSE,,"Agri-tourism, Historical, Museums, Nature",museum,
Pearson House,info@villagesofvanburen.com,319.293.3088,http://villagesofvanburen.com/sites-of-interest.html?item=20,"718 Dodge
718Dodge Street",,Keosauqua,,52565,,-91.9672713,40.7350977,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Van Buren County Courthouse,info@villagesofvanburen.com,319.293.7111,http://villagesofvanburen.com,"902 4th St.
",,Keosauqua,,52565,,-91.949021,40.7400044,,,,,TRUE,FALSE,,Historical,museum,
Louisa County Heritage Center,lchs@louisacomm.net,319.527.5247,http://louisacountyhistory.com,"609 N. James L Hodges Ave.
609James L Hodges Avenue",,Wapello,,52653,,-91.1958717,41.1849571,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Midwest Memories Museum and Shoppe,midwestmemories@farmtel.net,319.331.5986,http://midwestmuseum.blogspot.com,"217 W Main St.
217West Main Street",,Wayland,,52654,,-91.6609197,41.1470899,,,,,TRUE,FALSE,,"Agri-tourism, Historical, Museums",museum,
West Point Museum and Tourism Information Center,cschwartz@westpoint.lib.ia.us,319.837.6315,http://westpointiowa.com/library-and-museum/,"317 5th St.
3175th Street",,West Point,,52656,,-91.4524242,40.7173717,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Winfield Historical Society and Museum,winfieldhistoricalsociety@yahoo.com,319.257.6661,http://winfieldhistoricalsociety.com,"114 S Locust
114South Locust Street",,Winfield,,52659,,-91.4379242,41.1285072,,,,,TRUE,FALSE,,"Historical, Museums",museum,
The Weaver House Inn,info@theweaverhouseinn.com,641.664.1374,http://theweaverhouseinn.com,"102 Weaver Rd.
102Weaver Road",,Bloomfield,,52537,,-92.4133572,40.7552587,,,,,TRUE,FALSE,,National Historic Landmark,museum,
Lincoln Hotel,werfamli@fbcom.net,563.941.7563,http://lincolnhoteliowa.com,"408 Main St.
408Main Street",,Lowden,,52255,,-90.9254497,41.8576397,,,,,TRUE,FALSE,,Historical,museum,
Maquoketa Caves State Park,maquoketa@dnr.iowa.gov,563.652.5833,http://www.exploreiowaparks.com,"10970 98th St.
7 miles NW of Maquoketa, 98th St. off Hwy. Y31",,Maquoketa,,52060,,-90.6656914,42.0689088,,,,,TRUE,FALSE,,"Museums, Nature, Outdoor Recreation & Sports, State Parks, Campgrounds, Campground",museum,
Old Jail and Firehouse Guest Suite,richardpalucci@yahoo.com,563.873.2759,http://,"212 A St.
212A Street",,McGregor,,52157,,-91.1755806,43.0246978,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Hotel Julien Dubuque,gm@hoteljuliendubuque.com,563.556.4200,http://hoteljuliendubuque.com,"200 Main St.
200Main Street",,Dubuque,,52001,,-90.6644783,42.4958959,,,,,TRUE,FALSE,,Historical,museum,
Opa's Tractor Barn Museum,jeschanz@southslope.net,319.622.3315,http://,"609 7th Ave.
6097th Avenue",,Amana,,52203,,-91.9635308,41.8069568,,,,,TRUE,FALSE,,"Agri-tourism, Museums",museum,
American Gothic House and Center,theamericangothichouse@gmail.com,641.652.3352,http://americangothichouse.net,"300 American Gothic St.
300American Gothic Street",,Eldon,,52554,,-92.2140385,40.9209659,,,,,TRUE,FALSE,,"Arts / Culture, Famous Iowans, Historical, Museums, History",museum,
Christian Petersen Art Museum,aclone@iastate.edu,515.294.9500,http://www.museums.iastate.edu,"Morrill Hall
Iowa State University Campus",,Ames,,50011,,-93.6480307,42.0288663,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
Decatur County Museum,chet.redman@greatwesternbank.com,641.446.4841,http://,"111 N Main
111North Main Street",,Leon,,50144,,-93.7469187,40.7395738,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Cedar Rapids Museum of Art,info@crma.org,319.366.7503,http://crma.org,"410 3rd Ave SE
4103rd Avenue Southeast",,Cedar Rapids,,52401,,-91.6643409,41.9788607,,,,,TRUE,FALSE,,"Arts / Culture, Family Fun, Museums",museum,
Algona Nativity Scene,imchick@netamumail.com,515.295.7519,http://pwcamp.algona.org,"Kossuth County Fairgrounds
East Fair Street",,Algona,,50511,,-94.2314239,43.0605431,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Hawkeye Log Cabin,info@dmchs.org,319.752.7449,http://dmchs.org,"S Main St.
Crapo Park",,Burlington,,52601,,-91.1020208,40.7765484,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Phelps House Museum,info@dmchs.org,319.753.5880,http://dmchs.org,"521 Columbia St.
521Columbia Street",,Burlington,,52601,,-91.10532,40.812016,,,,,TRUE,FALSE,,"Historical, Museums",museum,
The Heritage Center,info@dmchs.org,319.752.7449,http://dmchs.org,"501 N 4th St.
501North 4th Street",,Burlington,,52601,,-91.1032722,40.8119015,,,,,TRUE,FALSE,,"Historical, Museums",museum,
Amana Arts Guild Gallery,amanarts@southslope.net,319.622.3678,http://amanaartsguild.com,"1210 G St.
1210G Street",,Amana,,52203,,-91.9406778,41.8035384,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums, Shopping",museum,
Cannonball 457,dandawilson@netconx.net,641.423.5328,http://friendsofthe457.org,"East Park located on E State St
East State Street",,Mason City,,50401,,-93.1860217,43.1517803,,,,,TRUE,FALSE,,"Family Fun, Historical",museum,
Historic Greef General Store,greefstore@netins.net,319.592.3579,http://greefstore.com,"21964 Hawk Dr.
22098Hawk Drive",,Keosauqua,,52565,,-91.8505445,40.7246692,,,,,TRUE,FALSE,,"Historical, Museums, Shopping",museum,
Clay County Heritage Center,parkermuseum@smunet.net,712.262.3304,http://parkermuseum.org,"7 Grand Ave.
7Grand Avenue",,Spencer,,51301,,-95.144945,43.1379949,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums",museum,
Everly Brothers Childhood Home,chamber@shenandoahiowa.net,712.246.3455,http://shenandoahiowa.net,"Sheridan Ave. and Railroad St.
West Sheridan Avenue",,Shenandoah,,51601,,-95.3760912,40.765939,,,,,TRUE,FALSE,,"Arts / Culture, Historical, Museums, Famous Iowans",museum,
Maasdam Barns,MaasdamFairfield@gmail.com,641.472.3235,http://jeffersoncountyiowa.com/barns/,"2000 S Main St.
2000South Main Street",,Fairfield,,52556,,-91.9631174,40.9868263,,,,,TRUE,FALSE,,"Agri-tourism, Historical, Museums",museum,
Grand Opera House,director@thegrandoperahouse.com,563.588.4356,http://thegrandoperahouse.com,"135 W 8th St.
135West 8th Street",,Dubuque,,52001,,-90.666559,42.5012929,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Swinging Bridge,cdc@columbusjunctioniowa.org,319.728.7971,http://columbusjunctioniowa.org,"300 Elm St.
300Elm Street",,Columbus Junction,,52738,,-91.3628514,41.2781363,,,,,TRUE,FALSE,,Historical,museum,
Red Oak Carnegie Library,webmaster@redoak.lib.ia.us,712.623.6516,http://redoak.lib.ia.us,"400 N 2nd St.
400North 2nd Street",,Red Oak,,51566,,-95.2303338,41.0080127,,,,,TRUE,FALSE,,"Arts / Culture, Family Fun, Historical",museum,
Montgomery County Courthouse,sburke@montgomerycoia.us,712.623.5127,http://montgomerycountyiowa.com,"115 E Coolbaugh St.
115East Coolbaugh Street",,Red Oak,,51566,,-95.2313635,41.0088947,,,,,TRUE,FALSE,,"Arts / Culture, Historical",museum,
Historic Peterson,samsons@iowatelecom.net,712.295.8889,http://www.petersonhistory.org,"Hwy. 10
Highway 10",,Peterson,,51047,,-95.3707768,42.9240785,,,,,TRUE,FALSE,,"Arts / Culture, Family Fun, Historical, Museums",museum,
Jim's History Barn,jshass@iowatelecom.net,712.295.6551,http://,"6 E 4th St.
6East 4th Street",,Peterson,,51047,,-95.3427899,42.920189,,,,,TRUE,FALSE,,"Arts / Culture, Family Fun, Historical, Museums",museum,
Glacial Trail Scenic Byway,troy.siefert@dot.iowa.gov,712.446.2243,http://iowabyways.org/glacial-trail,"409 Ash
409Ash Street",,Sutherland,,51058,,-95.4993575,42.9714628,,,,,TRUE,FALSE,,Byways & Historic Drives,museum,
Carrollton Heritage Park,rap0550@yahoo.com,712.999.2446,http://,"280th & Ranch
280th Street",,Glidden,,51401,,-94.7509832,41.9493516,,,,,TRUE,FALSE,,Historical,museum,
Pioneer Trail Museum,macedoniacityhall@gmail.com,712.486.2323,http://macedoniaiowa.com,"316 Main St.
316Main Street",,Macedonia,,51549,,-95.425039,41.193109,,,,,TRUE,FALSE,,"Historical, Museums",museum,
